Start,Start,Start,Modtag4.000vedpassering,0,0
Street,Rødovrevej,Rødovrevej1.200,Købeudvideellerbetaleleje,1200,Blue
Chance,Prøvlykken!,Prøvlykken!,Træketchancekort,0,0
Street,Hvidovrevej,Hvidovrevej1.200,Købeudvideellerbetaleleje,1200,Blue
Tax,Indskomstskat,Betalindskomstskat4.000eller10%,Betal4.000eller10%,4000,0
Ferry,ScandlinesHelsingør-Helsingborg,Scandlines4.000,Købeellerbetaleleje,4000,0
Street,Roskildevej,Roskildevej2.000,Købeudvideellerbetaleleje,2000,Orange
Chance,Prøvlykken!,Prøvlykken!,Træketchancekort,0,0
Street,ValbyLanggade,ValbyLanggade2.000,Købeudvideellerbetaleleje,2000,Orange
Street,Allégade,Allégade2.400,Købeudvideellerbetaleleje,2400,Orange
Refuge,Påbesøgifængsel,Påbesøg,Bareroligduerkunpåbesøg,0,0
Street,FrederiksbergAllé,FrederiksbergAllé2.800,Købeudvideellerbetaleleje,2800,Green
Brewery,TuborgSquash,TuborgSquash3.000,Købeellerbetaleleje,3000,0
Street,Bülowsvej,Bülowsvej2.800,Købeudvideellerbetaleleje,2800,Green
Street,Gl.Kongevej,Gl.Kongevej3.200,Købeudvideellerbetaleleje,3200,Green
Ferry,Mols-Linien,Mols-Linien4.000,Købeellerbetaleleje,4000,0
Street,Bernstoftvej,Bernstoftvej3.600,Købeudvideellerbetaleleje,3600,Grey
Chance,Prøvlykken!,Prøvlykken!,Træketchancekort,0,0
Street,Hellerupvej,Hellerupvej3.600,Købeudvideellerbetaleleje,3600,Grey
Street,Strandvejen,Strandvejen4.000,Købeudvideellerbetaleleje,4000,Grey
Refuge,Parkering,Parkering,Gratisparkering,0,0
Street,Trianglen,Trianglen4.400,Købeudvideellerbetaleleje,4400,Red
Chance,Prøvlykken!,Prøvlykken!,Træketchancekort,0,0
Street,Østerbrogade,Østerbrogade4.400,Købeudvideellerbetaleleje,4400,Red
Street,Grønningen,Grønningen4.800,Købeudvideellerbetaleleje,4800,Red
Ferry,ScandlinesGedser-Rostock,Scandlines4.000,Købeellerbetaleleje,4000,0
Street,Bredgaade,Bredgade5.200,Købeudvideellerbetaleleje,5200,White
Street,Kgs.Nytorv,Kgs.Nytorv5.200,Købeudvideellerbetaleleje,5200,White
Brewery,CocaCola,CocaCola3.000,Købeellerbetaleleje,3000,0
Street,Østergaade,Østergade5.600,Købeudvideellerbetaleleje,5600,White
Jail,Fængsel,Defængsles,Rykdirektetilfængseludenatpasserestart,0,0
Street,Amagertorv,Amagertorv6.000,Købeudvideellerbetaleleje,6000,Yellow
Street,Vimmelskaftet,Vimmelskaftet6.000,Købeudvideellerbetaleleje,6000,Yellow
Chance,Prøvlykken!,Prøvlykken!,Træketchancekort,0,0
Street,Nygade,Nygade6.400,Købeudvideellerbetaleleje,6400,Yellow
Ferry,ScandlinesRødby-Puttgarden,Scandlines4.000,Købeellerbetaleleje,4000,0
Chance,Prøvlykken!,Prøvlykken!,Træketchancekort,0,0
Street,Frederiksberggade,Frederiksberggade7.000,Købeudvideellerbetaleleje,7000,Purple
Tax,Ekstraordinærstatsskat,BetalEkstraordinærstatsskat2.000,Betal2.000,2000,0
Street,Rådhuspladsen,Rådhuspladsen8.000,Købeudvideellerbetaleleje,8000,Purple
